model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
cnn_features_1d,PHM,FFT,0,"[[2, 3], [1]]",0.6932,0.9996,1.5212,0.7917,3.8420 ,0.6538
cnn_features_1d,PHM,FFT,0,"[[0, 1, 2], [3]]",0.6975,0.9989,1.0264,0.8323,2.7750 ,0.7019
cnn_features_1d,PHM,FFT,0,"[[0, 2, 3], [1]]",0.6952,0.9987,0.8548,0.8504,3.9808,0.6699
cnn_features_1d,PHM,FFT,0,"[[1, 2, 3], [0]]",0.6969,0.9987,1.4256,0.7949,2.9738,0.7115
cnn_features_1d,PHM,FFT,0,"[[0, 1, 3], [2]]",0.6969,0.9981,1.1415,0.8494,2.3397,0.7308
cnn_features_1d,PHM,FFT,0,"[[0, 1], [2, 3]]",0.6864,0.9992,1.0285,0.8413,4.3858,0.5994
cnn_features_1d,PHM,FFT,0,"[[0, 2], [1, 3]]",0.6912,0.9996,0.8249,0.8590 ,4.3635,0.6106
cnn_features_1d,PHM,FFT,0,"[[0, 3], [1, 2]]",0.6932,0.9988,0.8890 ,0.8638,2.7051,0.7035
cnn_features_1d,PHM,FFT,0,"[[1, 2], [0, 3]]",0.6876,0.9980 ,1.5906,0.7965,3.8320 ,0.6426
cnn_features_1d,PHM,FFT,0,"[[1, 3], [0, 2]]",0.6872,0.9988,1.2285,0.7997,3.2743,0.6731
cnn_features_1d,PHM,FFT,0,"[[2, 3], [0, 1]]",0.6891,0.9992,1.2564,0.8141,3.4529,0.6667
cnn_features_1d,PHM,FFT,0,"[[2, 3], [0, 1]]",0.6926,0.9988,1.2468,0.8125,3.2349,0.6747
cnn_features_1d,PHM,FFT,0,"[[1, 3], [0, 2]]",0.6874,0.9988,1.2961,0.7981,3.0903,0.6811
